period_id,spadl_type,player_id,synced_ts,receiver_id,receive_ts,outcome,error_type,note,synced_frame_id,receive_frame_id,id
1,pass,away_7,00:00.00,away_2,00:01.00,True,,,10000,10025,ev_00001
1,pass,away_2,00:01.60,out_bottom,00:05.24,False,,,10040,10131,ev_00002
1,throw_in,home_2,00:16.72,away_2,00:20.48,False,,,10418,10512,ev_00003
1,clearance,away_2,00:20.48,away_38,00:21.88,True,,,10512,10547,ev_00004
1,pass,away_38,00:22.20,away_6,00:23.44,True,,,10555,10586,ev_00005
1,pass,away_6,00:23.44,away_10,00:24.92,True,,,10586,10623,ev_00006
1,pass,away_10,00:28.84,away_5,00:29.88,True,,,10721,10747,ev_00007
1,pass,away_5,00:32.48,away_2,00:33.56,True,,,10812,10839,ev_00008
1,pass,away_2,00:35.04,away_4,00:36.60,True,,,10876,10915,ev_00009
1,pass,away_4,00:38.44,away_11,00:40.84,True,,,10961,11021,ev_00010
1,pass,away_11,00:40.84,home_4,00:41.76,False,,,11021,11044,ev_00011
1,clearance,home_4,00:42.80,away_27,00:49.04,False,,,11070,11226,ev_00012
1,pass,away_27,00:50.92,away_2,00:52.04,True,,,11273,11301,ev_00013
1,pass,away_2,00:53.88,away_5,00:55.48,True,,,11347,11387,ev_00014
1,pass,away_5,00:56.68,away_38,00:57.80,True,,,11417,11445,ev_00015
1,pass,away_38,01:00.56,away_2,01:01.32,True,,,11514,11533,ev_00016
1,pass,away_2,01:02.72,away_27,01:04.44,True,,,11568,11611,ev_00017
1,pass,away_27,01:06.00,away_2,01:07.24,True,,,11650,11681,ev_00018
1,pass,away_2,01:08.68,away_6,01:09.20,True,,,11717,11730,ev_00019
1,pass,away_6,01:11.44,away_5,01:13.12,True,,,11786,11828,ev_00020
